Date,Price_nom,Div_nom,Earn_nom,Yield_10yr,CPI,Stk_ret,Bnd_ret,Div_yield
1950-05-31,18.44,1.19,2.48333,2.4033333333333333,23.7,0.03919095665171901,0.0001449310823371519,0.06670403587443946
1950-06-30,18.74,1.2,2.54,2.4241666666666664,23.8,0.021691973969631073,0.00016386545753066528,0.0650759219088937
1950-07-31,17.38,1.24333,2.6,2.445,24.1,-0.06704317858413367,0.00018279357857542422,0.06634631803628603
1950-08-31,18.43,1.28667,2.66,2.4658333333333333,24.3,0.06658357307249707,0.00020171545271718827,0.07403164556962026
1950-09-30,19.08,1.33,2.72,2.4866666666666664,24.4,0.041282329535178075,0.00022063108718173297,0.07216494845360825
1950-10-31,19.87,1.37667,2.76,2.5075,24.6,0.04741732180293501,0.00023954048918728432,0.07215251572327044
1950-11-30,19.83,1.42333,2.8,2.5283333333333333,24.7,0.003956257339372549,0.0002584436659349709,0.07163210870659285
1950-12-31,19.75,1.47,2.84,2.549166666666667,25.0,0.0021432173474533744,0.0002773406246121546,0.07413010590015129
1951-01-31,21.21,1.48667,2.83667,2.57,25.4,0.08019691983122379,0.0002962313723922083,0.07527443037974683
1951-02-28,22.0,1.50333,2.83333,2.5791666666666666,25.7,0.04315311173974523,0.0013236113234240676,0.07087835926449788
1951-03-31,21.63,1.52,2.83,2.5883333333333334,25.8,-0.011060606060606215,0.0013314460875815115,0.06909090909090909
1951-04-30,21.92,1.53333,2.79333,2.5975,25.8,0.019314724919093917,0.00133927998154304,0.07088904299583912
1951-05-31,21.93,1.54667,2.75667,2.6066666666666665,25.9,0.006336184610705509,0.0013471130056381675,0.07055976277372263
1951-06-30,21.55,1.56,2.72,2.6158333333333332,25.9,-0.011399908800729608,0.0013549451601908569,0.07113543091655267
1951-07-31,21.93,1.54667,2.65,2.625,25.9,0.023614346481051873,0.0013627764455250713,0.07177122969837586
1951-08-31,22.89,1.53333,2.58,2.6341666666666668,25.9,0.049602257181942555,0.0013706068619694367,0.06991928864569084
1951-09-30,23.48,1.52,2.51,2.6433333333333335,26.1,0.03130915974952675,0.0013784364098479163,0.06640454346876365
1951-10-31,23.36,1.48333,2.48667,2.6525000000000003,26.2,0.00015378336172622298,0.0013862650894849171,0.06317419080068143
1951-11-30,22.71,1.44667,2.46333,2.6616666666666666,26.4,-0.022664561929223614,0.001394092901203292,0.06192936643835616
1951-12-31,23.41,1.41,2.44,2.6708333333333334,26.5,0.03599735799207404,0.0014019198453310011,0.06208718626155878
1952-01-31,24.19,1.41333,2.42667,2.68,26.5,0.03835017086715076,0.001409745922190453,0.060372917556599744
1952-02-29,23.75,1.41667,2.41333,2.6925,26.3,-0.013308977538928013,0.0011309213828567533,0.05856428276147169
1952-03-31,23.81,1.42,2.4,2.705,26.3,0.007508771929824354,0.0011417733690493037,0.059789473684210524
1952-04-30,23.74,1.43,2.38,2.7175000000000002,26.4,0.002064958700826125,0.0011526235715610955,0.06005879882402352
1952-05-31,23.73,1.44,2.36,2.7300000000000004,26.4,0.004633529907329459,0.0011634719914113134,0.060657118786857624
1952-06-30,24.38,1.45,2.34,2.7425,26.5,0.032483494872875385,0.0011743186296229169,0.061104087652760215
1952-07-31,25.08,1.45,2.34667,2.755,26.7,0.03366830735575599,0.001185163487212204,0.05947497949138638
1952-08-31,25.18,1.45,2.35333,2.7675,26.7,0.00880515683147265,0.0011960065651963614,0.05781499202551835
1952-09-30,24.78,1.45,2.36,2.7800000000000002,26.7,-0.011086841408525228,0.0012068478645899106,0.057585385226370134
1952-10-31,24.26,1.43667,2.37333,2.7925,26.7,-0.0161532485875705,0.0012176873864113702,0.057976997578692485
1952-11-30,25.03,1.42333,2.38667,2.805,26.7,0.03662864111019526,0.0012285251316723755,0.058669826875515245
1952-12-31,26.04,1.41,2.4,2.8175,26.7,0.045045944866160426,0.0012393611013845618,0.0563324011186576
1953-01-31,26.18,1.41,2.41,2.83,26.6,0.009888632872503855,0.0012501952965628949,0.05414746543778802
1953-02-28,25.86,1.41,2.42,2.8008333333333333,26.5,-0.0077349121466768755,0.004823840066536134,0.05385790679908327
1953-03-31,25.99,1.41,2.43,2.7716666666666665,26.6,0.009570765661252922,0.0048038521909279375,0.054524361948955914
1953-04-30,24.71,1.41333,2.45667,2.83,26.6,-0.04471806464024619,-0.002702802831322071,0.05437976144671028
1953-05-31,24.84,1.41667,2.48333,3.05,26.7,0.01003868204505598,-0.016258761250360854,0.05733184945366249
1953-06-30,23.95,1.42,2.51,3.11,26.8,-0.03106548577563073,-0.0025470730352139537,0.0571658615136876
1953-07-31,24.29,1.42,2.52333,2.93,26.8,0.01913709116214335,0.017855969368842484,0.0592901878914405
1953-08-31,24.39,1.42,2.53667,2.95,26.9,0.008988609853163076,0.0007111568258868495,0.058460271716755864
1953-09-30,23.27,1.42,2.55,2.87,26.9,-0.04106874402077365,0.009246649936770934,0.058220582205822054
1953-10-31,23.97,1.43,2.53667,2.66,27.0,0.035202693023922205,0.02045831974911505,0.061452513966480445
1953-11-30,24.5,1.44,2.52333,2.68,26.9,0.027117229870671666,0.000468291413955102,0.060075093867334166
1953-12-31,24.83,1.45,2.51,2.59,26.9,0.018401360544217704,0.009990204161796079,0.05918367346938775
1954-01-31,25.46,1.45667,2.52333,2.48,26.9,0.0302613438045376,0.011700462597170391,0.058665726943213856
1954-02-28,26.02,1.46333,2.53667,2.47,26.9,0.02678492406389088,0.0029137413523843136,0.05747564807541241
1954-03-31,26.57,1.47,2.55,2.37,26.9,0.025845503458877817,0.010782231507569628,0.05649500384319754
1954-04-30,27.63,1.46333,2.57333,2.29,26.8,0.04448416133483879,0.008980203445695611,0.055074520135491155
1954-05-31,28.73,1.45667,2.59667,2.37,26.9,0.044205181565930785,-0.005108826600676686,0.052720593557727104
1954-06-30,28.96,1.45,2.62,2.38,26.9,0.01221139343311295,0.001079635586756833,0.050469892098851374
1954-07-31,30.13,1.45667,2.62333,2.3,26.9,0.04459216735727445,0.008984740717516315,0.05029937845303867
1954-08-31,30.73,1.46333,2.62667,2.36,26.9,0.023960974665339085,-0.003354014076534906,0.0485672087620312
1954-09-30,31.45,1.47,2.63,2.38,26.8,0.02741620566221914,0.0001972493358106675,0.04783599088838269
1954-10-31,32.18,1.49333,2.67667,2.43,26.8,0.02716833598304169,-0.0023979085551850687,0.04748267090620032
1954-11-30,33.44,1.51667,2.72333,2.48,26.8,0.04308232338926876,-0.0023459685890683257,0.047130826600372905
1954-12-31,34.97,1.54,2.77,2.51,26.7,0.04959130781499188,-0.0005617071562593612,0.04605263157894737
